code,name,zone,address,sequence
"1AL2","AV.ALIADOS","PRT1","AV.ALIADOS",1
"TRD2","TRINDADE","PRT1","R.TRINDADE",2
"GCRT1","GONÇALO CRISTÓVÃO","PRT1","R.DR.ALFREDO MAGALHÃES",3
"PRR1","PR. DA REPÚBLICA","PRT1","PR.REPÚBLICA",4
"FIG","FIGUEIROA","PRT1","R.BOAVISTA",5
"CVA1","CARVALHOSA","PRT1","R.BOAVISTA",6
"HML1","HOSPITAL MILITAR","PRT1","AV.BOAVISTA",7
"BVBR2","BOAVISTA BRASÍLIA","PRT1","AV.BOAVISTA",8
"BCM1","BOAVISTA-CASA DA MÚSICA","PRT1","PR.MOUZINHO ALBUQUERQUE",9
"AGM1","AGRAMONTE","PRT1","AV.BOAVISTA",10
"ACRD1","ANTÓNIO CARDOSO","PRT1","AV.BOAVISTA",11
"BSS1","BESSA","PRT1","AV.BOAVISTA",12
"FOCO1","FOCO","PRT1","AV.BOAVISTA",13
"PINM1","PINHEIRO MANSO","PRT2","AV.BOAVISTA",14
"SRV3","SERRALVES","PRT2","AV.BOAVISTA",15
"PNV2","PAULO NOVAIS","PRT2","AV.BOAVISTA",16
"FTM1","FONTE DA MOURA","PRT2","AV.ANTUNES GUIMARÃES",17
"BRV1","BAIRRO VILARINHA","PRT2","AV.ANTUNES GUIMARÃES",18
"LDD1","LIDADOR","PRT2","AV.ANTUNES GUIMARÃES",19
"PRO1","PEREIRÓ","PRT2","AV.ANTUNES GUIMARÃES",20
"EZC1","EZEQUIEL CAMPOS","PRT2","R.CONDE COVILHÃ",21
"MPAZ5","MAN.P.AZEVEDO 3","PRT2","R.MANUEL PINTO AZEVEDO",22
"RAEP2","ROT. A.E.P.","PRT2","ESTR.CIRCUNVALAÇÃO",23
"RUL1","RUELA","PRT2","ESTR.CIRCUNVALAÇÃO",24
"SRP1","SRA.PENHA","PRT2","ESTR.CIRCUNVALAÇÃO",25
"BRVS","BAIRRO DO VISO","PRT2","ESTR.CIRCUNVALAÇÃO",26
"RSR1","R. DO SENHOR","PRT2","ESTR.CIRCUNVALAÇÃO",27
"AV1","ALTO DO VISO","PRT2","ESTR.CIRCUNVALAÇÃO",28
"QTL1","QUARTEL MILITAR","PRT2","ESTR.CIRCUNVALAÇÃO",29
"BRSE1","BR. STO. EUGÉNIO","PRT2","ESTR.CIRCUNVALAÇÃO",30
"CNG1","CONGOSTAS","PRT2","ESTR.CIRCUNVALAÇÃO",31
"MTB1","MTE BURGOS (CIRC.)","PRT2","ESTR.CIRCUNVALAÇÃO",32
"VNC1","VIA NORTE (CIRC.)","PRT2","ESTR.CIRCUNVALAÇÃO",33
"CPU1","CAPUCHINHOS","PRT2","ESTR.CIRCUNVALAÇÃO",34
"AML2","AMIAL","PRT3","ESTR.CIRCUNVALAÇÃO",35
"ST1","S. TOMÉ","PRT3","ESTR.CIRCUNVALAÇÃO",36
"IPO4","IPO (CIRCUNVAL.)","PRT3","ESTR.CIRCUNVALAÇÃO",37
"HSJ6","HOSP. S. JOÃO (URGÊNCIA)","PRT3","ALAM.HERNÂNI MONTEIRO",38
