code,name,zone,address,sequence
"GATS2","GATÕES","MTS1","R.PONTE DO CARRO",1
"RPPC2","R. PADRE PORTO CARRERO","MTS1","R.BOA HORA",2
"RBHR2","R.BOA HORA","MTS1","R.FERROVIÁRIO",3
"RFER2","R.FERROVIÁRIO","MTS1","R.FERROVIÁRIO",4
"LMBG2","LOMBA (GATÕES)","MTS1","R.FERROVIÁRIO",5
"PCRR2","PONTE CARRO","MTS1","R.GATÕES",6
"LMB2","LOMBA","MTS1","R.LOMBA",7
"ABL2","ABELHEIRA","MTS1","R.LOMBA",8
"RBO2","RIBEIRO","MTS1","R.LOMBA",9
"RGDU1","REGEDOURA","MTS1","R.LOMBA",10
"RDAG2","REGUINHO D ÁGUA","MTS1","R.PORTO MOURO",11
"MP2","MONTE DOS PIPOS","MTS1","R.PORTO MOURO",12
"MN2","MUNDO NOVO","MTS1","R.MONTE PIPOS",13
"GUIF2","GUIFÕES","MTS1","LGO.PADRE JOAQUIM SANTOS",14
"PSSM2","PASSOS MANUEL","MTS1","R.PASSOS MANUEL",15
"TPM2","TV. PASSOS MANUEL","MTS1","R.PASSOS MANUEL",16
"FTCC6","FONTE DO CUCO","MTS1","AV.DR.SALGADO ZENHA",17
"RLG4","RUA DA LAGOA","MTS1","AV.CALOUSTE GULBENKIAM",18
"VGM4","AV.VASCO DA GAMA","MTS1","AV.CALOUSTE GULBENKIAM",19
"CSSH3","CENTRO DE SAÚDE SRA HORA","MTS1","AV.VASCO GAMA",20
"LND2","C. C. LONDRES","PRT2","R.SOBREIRO",21
"QCM4","QUATRO CAMINHOS","PRT2","R.SOBREIRO",22
"RSR4","R.SENHOR","PRT2","R.SENHOR",23
"SRP4","SRA. DA PENHA","PRT2","AV.MANUEL PINTO AZEVEDO",24
"CIRC5","CIRCUNVALAÇÃO","PRT2","R.SENHOR",25
"JAZ2","JERÓNIMO AZEVEDO","PRT2","R.JERÓNIMO AZEVEDO",26
"VIS5","VISO (METRO)","PRT2","R.JOÃO COUTINHO",27
"VIS1","VISO (METRO)","PRT2","R.BORDEAUX",28
"IMTT2","IMTT","PRT2","AV.F.PEREIRA MELO",29
"MPAZ6","MAN.P.AZEVEDO 3","PRT2","R.MANUEL PINTO AZEVEDO",30
"MPAZ2","MAN.P.AZEVEDO 2","PRT2","R.MANUEL PINTO AZEVEDO",31
"MPAZ1","MAN.P.AZEVEDO 1","PRT2","R.MANUEL PINTO AZEVEDO",32
"EFRD1","ENG. FERREIRA DIAS","PRT2","R.MANUEL PINTO AZEVEDO",33
"CRM2","CASA DE RAMALDE","PRT2","R.CRUZES",34
"IRM2","IGREJA DE RAMALDE","PRT2","R.PINHEIRO MANSO",35
"1SJB2","S. JOÃO DE BRITO","PRT2","R.S.JOÃO BRITO",36
"PINM6","PINHEIRO MANSO","PRT2","R.S.JOÃO BRITO",37
"FOCO2","FOCO","PRT1","AV.BOAVISTA",38
"BSS6","BESSA","PRT1","R.JOÃO GRAVE",39
"BBL","BAIRRO BESSA LEITE","PRT1","R.BESSA LEITE",40
"VENZ2","VENEZUELA","PRT1","R.VENEZUELA",41
"CART","CASA DAS ARTES","PRT1","R.ANTÓNIO CARDOSO",42
"FCUP2","FACULDADE DE CIÊNCIAS","PRT1","R.CAMPO ALEGRE",43
"PLNT2","PLANETÁRIO","PRT1","R.CAMPO ALEGRE",44
"GGT2","GÓLGOTA","PRT1","R.CAMPO ALEGRE",45
"JM2","JUNTA MASSARELOS","PRT1","R.CAMPO ALEGRE",46
"PRG3","PR. DA GALIZA","PRT1","PR.GALIZA",47
"CALE","R.CAMPO ALEGRE","PRT1","R.BOM SUCESSO",48
"BS10","BOAVISTA (BOM SUCESSO)","PRT1","R.BOM SUCESSO",49
