code,name,zone,address,sequence
"BLRB4","BOLHÃO","PRT1","R.FIRMEZA",1
"MCBL3","MERCADO DO BOLHÃO","PRT1","R.SÁ BANDEIRA",2
"SCAT3","SANTA CATARINA","PRT1","R.FORMOSA",3
"PDR","LARGO DO PADRÃO","PRT1","R.FORMOSA",4
"C24A1","CAMPO 24 DE AGOSTO","PRT1","C.24 AGOSTO",5
"BL4","BARROS LIMA","PRT1","AV.FERNÃO DE MAGALHÃES",6
"PRF1","PR. DAS FLORES","PRT1","AV.25 ABRIL",7
"A25A1","AV. 25 DE ABRIL","PRT1","AV.25 ABRIL",8
"FVLH1","FONTE VELHA","PRT1","TV.FONTE VELHA",9
"EDRG3","ESTÁDIO DO DRAGÃO","PRT1","R.S.ROQUE LAMEIRA",10
"CRJ1","CORUJEIRA","PRT3","R.S.ROQUE LAMEIRA",11
"FSTO1","FERR. DOS SANTOS","PRT3","R.ESCOLAS",12
"FALC","FALCÃO","PRT3","R.ESCOLAS",13
"CRT2","CARTES","PRT3","R.ESCOLAS",14
"ESCL","ESCOLAS","PRT3","R.DR.JOSÉ A.MARQUES",15
"SR2","S. ROQUE","PRT3","R.S.ROQUE LAMEIRA",16
"TPT1","TV. DA PONTE","GDM1","R.AFONSO ALBUQUERQUE",17
"SCT1","S. CAETANO","GDM1","AV.D.JOAO I",18
"STBX1","SOUTELO BAIXO","GDM1","AV.D.JOAO I",19
"OTH1","OUTEIRINHO","GDM1","AV.D.JOAO I",20
"INFS1","INFANTE SANTO","GDM1","AV.D.JOAO I",21
"ASOT1","ALTO DE SOUTELO","GDM1","AV.D.JOAO I",22
"DAC1","DR. AMÉRICO COSTA","GDM1","AV.CARVALHA",23
"CV1","CARVALHA","GDM1","AV.CARVALHA",24
"CB1","CARVALHA DE BAIXO","GDM1","AV.CARVALHA",25
"VARZ1","VÁRZEA","GDM1","AV.CARVALHA",26
"STO1","S.TA OVAIA","GDM1","AV.CARVALHA",27
"STCZ1","S.TA CRUZ","GDM1","R.DR.SEVERIANO",28
"STE1","S.TA EULÁLIA","GDM1","PRACETA HEROIS ULTRAMAR",29
"CMR1","CAPITÃO MOURA","GDM1","AV.GENERAL HUMBERTO DELGADO",30
"VL1","VILAR","GDM1","AV.GENERAL HUMBERTO DELGADO",31
"TAR5","TARALHÃO","GDM1","AV.GEN.HUMBERTO DELGADO",32
"VINH1","VINHAL","GDM1","AV.GEN.HUMBERTO DELGADO",33
"ICPU1","IGREJA CAPUCHINHOS","GDM1","AV.GEN.HUMBERTO DELGADO",34
"25A1","25 DE ABRIL","GDM1","AV.GEN.HUMBERTO DELGADO",35
"CGG","COMBATENTES G.GUERRA","GDM1","R.COMBATENTES G.GUERRA",36
"GODC1","GONDOMAR (CÂMARA)","GDM1","R.5 OUTUBRO",37
"BVG1","B. V. GONDOMAR","GDM1","R.5 OUTUBRO",38
"MTCR1","MONTE CRASTO","GDM1","R.25 ABRIL",39
"GODS","GONDOMAR (SOUTO)","GDM1","R.BENTO JESUS CARAÇA",40
