code,name,zone,address,sequence
"VLG5","VALONGO-CONTINENTE","VLG1","ROT. NATÁLIA CORREIA",1
"JLS2","JULIÃO SARMENTO","VLG1","R.JULIÃO SARMENTO",2
"PRA2","PEREIRAS","VLG1","R.EDUARDO J.R.FIGUEIRA",3
"EMDN2","EMÍDIO NAVARRO","VLG1","R.EDUARDO J.R.FIGUEIRA",4
"FTMR2","FONTE MOURISCA","VLG1","R.EDUARDO J.R.FIGUEIRA",5
"RBQ2","R. BOUÇA QUEIMADA","VLG1","R. DONEILHE",6
"PRS4","PRESA","VLG1","R.VALE DOS AMORES",7
"PDR2","PADRÃO","VLG1","R.ALVES SALDANHA",8
"VALC2","VALONGO (CENTRO)","VLG1","AV.5 OUTUBRO",9
"CLVR2","CALVÁRIO","VLG1","AV.5 OUTUBRO",10
"PAV2","PAV. GIMNODESPORT.","VLG1","AV.5 OUTUBRO",11
"RTNM","ROT. 1º DE MAIO","VLG1","AV.25 ABRIL",12
"25AB2","25 DE ABRIL","VLG1","AV.25 ABRIL",13
"CFER2","CONDE FERREIRA","VLG1","R.CONDE FERREIRA",14
"FTSR4","FONTE DA SENHORA","VLG1","R.RIBEIRO CAMBADO",15
"RCMB2","RIBEIRO CAMBADO","VLG1","R.RIBEIRO CAMBADO",16
"ASRR2","ALTO DA SERRA","VLG1","R.RIBEIRO CAMBADO",17
"FS2","FLOR DA SERRA","VLG1","AVENIDA ENGENHEIRO DUARTE PACHECO",18
"TAZ1","TAPADA AZEVEDO","VLG1","AVENIDA ENGENHEIRO DUARTE PACHECO",19
"4CAM4","4 CAMINHOS","MAI4","R.CABEDA",20
"FND1","FUNDIÇÃO","MAI4","R.CABEDA",21
"COVN1","COVINA","MAI4","R.CABEDA",22
"9AG2","9 DE AGOSTO","MAI4","R.D.AFONSO HENRIQUES",23
"MCST1","MONTES DA COSTA","MAI4","R.GEN.HUMBERTO DELGADO",24
"CHAO2","CHÃOS","MAI4","R.GEN.HUMBERTO DELGADO",25
"FMGC2","FORMIGA CEMITÉRIO","MAI4","R.FORMIGA",26
"QCH1","QUINTA CHÃOS","MAI4","R.JOSÉ JOAQUIM R.TELES",27
"SA3","SÁ","MAI4","R.JOSÉ JOAQUIM R.TELES",28
"RTEL1","RIBEIRO TELES","MAI4","R.JOSÉ JOAQUIM R.TELES",29
"VASG1","VASCO DA GAMA","MAI4","R.JOSÉ JOAQUIM R.TELES",30
"ERMI2","ERMESINDE (IGREJA)","MAI4","R.D.ANTÓNIO CASTRO MEIRELES",31
"RIGR2","R. IGREJA","MAI4","R.IGREJA",32
"MSHP4","MAIASHOPPING","MAI4","R.ELIAS GARCIA",33
"CML2","CAMÉLIAS","MAI4","R.ELIAS GARCIA",34
"GAN2","GANDRA","MAI4","R.D.AFONSO HENRIQUES",35
"MRT2","MIRANTE","MAI4","R.D.AFONSO HENRIQUES",36
"MEIL2","MEILÃO","MAI4","R.D.AFONSO HENRIQUES",37
"AM2","ALTO DA MAIA","MAI4","R.D.AFONSO HENRIQUES",38
"LVDR2","LAVADOUROS","MAI4","R.MOSTEIRO",39
"CRG2","CORGA","MAI4","R.MOSTEIRO",40
"AST2","ÁGUAS SANTAS","MAI4","R.MOSTEIRO",41
"RMOS2","R. DO MOSTEIRO","MAI4","R.MOSTEIRO",42
"AS2","ANTÓNIO SANTOS","MAI4","R.MOSTEIRO",43
"FMGO4","FORMIGUEIRO","MAI4","R.MOSTEIRO",44
"GGC1","GAGO COUTINHO","MAI4","R.MANUEL GONÇALVES LAGE",45
"RGLE1","ROD. GONÇALVES LAGE (ESTE)","MAI4","R.MANUEL GONÇALVES LAGE",46
"PRD1","PARADA","MAI4","R.MANUEL GONÇALVES LAGE",47
"LNC2","LEONARDO COIMBRA","MAI1","R.MANUEL GONÇALVES LAGE",48
"THB2","TV. HENRIQUE BRAVO","MAI1","R.HENRIQUE BRAVO",49
"LARJ2","LARANJEIRAS","MAI1","R.HENRIQUE BRAVO",50
"SMM3","S. MAMEDE","MAI1","R.PADRE COSTA",51
"MOD2","MOALDE","MAI1","R.PADRE COSTA",52
"OG","OLIVEIRA GAIO","MAI1","R.OLIVEIRA GAIO",53
"DB2","DR. BARROS","MAI1","R.OLIVEIRA GAIO",54
"ASPL1","ASPRELA","MAI1","R.ASPRELA",55
"IPO4","IPO (CIRCUNVAL.)","PRT3","ESTR.CIRCUNVALAÇÃO",56
"HSJ2","HOSP. S. JOÃO (METRO)","PRT3","ALAM.HERNÂNI MONTEIRO",57
